timestamp,open,high,low,close,volume
2026-02-18 09:00:00,68132.83,68210.0,68010.11,68192.84,99.94271
2026-02-18 09:15:00,68192.84,68256.34,68149.87,68149.87,90.72218
2026-02-18 09:30:00,68149.88,68276.0,68134.0,68276.0,60.2307
2026-02-18 09:45:00,68276.0,68276.0,68148.47,68157.79,88.47563
2026-02-18 10:00:00,68157.8,68184.41,68084.78,68164.22,71.94008
2026-02-18 10:15:00,68164.22,68164.22,67977.03,68041.9,109.32012
2026-02-18 10:30:00,68041.91,68041.91,67731.95,67780.22,127.54938
2026-02-18 10:45:00,67780.22,67852.32,67762.37,67801.26,86.30229
2026-02-18 11:00:00,67801.26,67805.08,67076.9,67389.89,375.52636
2026-02-18 11:15:00,67389.88,67496.6,67234.0,67455.43,102.03058
2026-02-18 11:30:00,67455.43,67585.59,67415.66,67553.52,97.1383
2026-02-18 11:45:00,67553.53,67599.7,67358.0,67369.75,80.27833
2026-02-18 12:00:00,67369.75,67689.76,67369.09,67592.73,138.76151
2026-02-18 12:15:00,67592.72,67643.35,67486.51,67569.31,64.87095
2026-02-18 12:30:00,67569.31,67584.82,67345.0,67547.19,190.17146
2026-02-18 12:45:00,67547.2,67599.7,67450.61,67458.06,65.7037
2026-02-18 13:00:00,67458.06,67587.5,67383.41,67536.97,67.62624
2026-02-18 13:15:00,67536.97,67599.7,67420.0,67480.18,76.16911
2026-02-18 13:30:00,67480.19,67490.64,67224.36,67287.84,199.16467
2026-02-18 13:45:00,67287.84,67316.38,67051.81,67236.88,206.48563
2026-02-18 14:00:00,67236.89,67362.26,67219.4,67280.25,232.30092
2026-02-18 14:15:00,67280.24,67298.01,67063.04,67086.01,170.56118
2026-02-18 14:30:00,67086.0,67329.9,67000.0,67144.67,461.24306
2026-02-18 14:45:00,67144.67,67311.4,66717.3,67223.76,689.61156
2026-02-18 15:00:00,67223.77,67543.2,67192.25,67369.78,380.36199
2026-02-18 15:15:00,67369.78,67515.23,67317.37,67320.87,216.19679
2026-02-18 15:30:00,67320.86,68347.72,67295.89,68109.6,828.47448
2026-02-18 15:45:00,68109.59,68124.86,67613.09,67694.01,342.4337
2026-02-18 16:00:00,67694.01,67706.94,66995.97,67072.01,470.79403
2026-02-18 16:15:00,67072.01,67369.49,66994.23,67256.05,276.07245
2026-02-18 16:30:00,67256.05,67332.98,67045.0,67230.83,159.41776
2026-02-18 16:45:00,67230.84,67277.7,67037.2,67145.34,123.02978
2026-02-18 17:00:00,67145.35,67486.97,67057.13,67084.0,154.35396
2026-02-18 17:15:00,67084.0,67199.03,67057.93,67141.62,180.79434
2026-02-18 17:30:00,67141.62,67246.2,67085.63,67096.7,182.97357
2026-02-18 17:45:00,67096.71,67228.99,67085.0,67187.39,158.85461
2026-02-18 18:00:00,67187.4,67229.76,67085.0,67121.03,82.02692
2026-02-18 18:15:00,67121.03,67167.63,66639.0,66882.41,309.10063
2026-02-18 18:30:00,66882.41,66939.9,66307.6,66342.3,527.23837
2026-02-18 18:45:00,66342.31,66544.68,66200.0,66359.99,386.12539
2026-02-18 19:00:00,66360.0,66619.0,66310.78,66371.9,249.04616
2026-02-18 19:15:00,66371.89,66478.58,66115.57,66274.49,260.77517
2026-02-18 19:30:00,66274.31,66307.79,65870.0,66163.2,551.08608
2026-02-18 19:45:00,66163.2,66386.17,66062.54,66177.14,240.23471
2026-02-18 20:00:00,66177.15,66358.57,66141.9,66259.64,153.65253
2026-02-18 20:15:00,66259.63,66374.99,66160.23,66301.6,134.3986
2026-02-18 20:30:00,66301.59,66550.0,66294.84,66429.22,127.3608
2026-02-18 20:45:00,66429.23,66522.96,66160.96,66268.39,267.50194
2026-02-18 21:00:00,66268.4,66341.04,66053.6,66207.26,286.29043
2026-02-18 21:15:00,66207.25,66411.8,66190.94,66411.79,112.47869
2026-02-18 21:30:00,66411.79,66504.2,66352.38,66438.43,181.43493
2026-02-18 21:45:00,66438.44,66466.36,66267.23,66342.76,329.16987
2026-02-18 22:00:00,66342.76,66391.21,66232.02,66258.0,164.61071
2026-02-18 22:15:00,66257.99,66373.92,66235.19,66324.0,65.05427
2026-02-18 22:30:00,66324.01,66461.22,66324.01,66400.01,68.35911
2026-02-18 22:45:00,66400.0,66477.7,66399.01,66408.82,54.06725
2026-02-18 23:00:00,66408.83,66446.5,66275.71,66379.09,83.04766
2026-02-18 23:15:00,66379.09,66399.87,66285.58,66314.18,69.64442
2026-02-18 23:30:00,66314.18,66482.97,66314.17,66470.7,104.91499
2026-02-18 23:45:00,66470.7,66502.49,66431.26,66461.0,65.52953
2026-02-19 00:00:00,66461.0,66597.03,66399.08,66411.04,112.40032
2026-02-19 00:15:00,66411.05,66548.76,66345.0,66405.07,91.16991
2026-02-19 00:30:00,66405.08,66550.3,66356.01,66532.0,35.16347
2026-02-19 00:45:00,66532.0,66558.95,66390.9,66446.49,58.68854
2026-02-19 01:00:00,66446.49,66770.0,66446.48,66705.94,133.28132
2026-02-19 01:15:00,66705.93,66738.23,66539.5,66704.35,106.52071
2026-02-19 01:30:00,66704.35,66823.54,66622.0,66798.41,96.26144
2026-02-19 01:45:00,66798.41,66884.16,66756.44,66866.62,79.08324
2026-02-19 02:00:00,66866.63,66870.78,66756.15,66827.71,62.14008
2026-02-19 02:15:00,66827.72,66958.9,66808.2,66939.51,95.83826
2026-02-19 02:30:00,66939.51,66941.46,66639.99,66662.72,127.00492
2026-02-19 02:45:00,66662.72,66871.98,66662.72,66835.2,77.60543
2026-02-19 03:00:00,66835.2,66887.03,66727.27,66799.07,42.98928
2026-02-19 03:15:00,66799.08,66963.44,66799.07,66956.44,59.38977
2026-02-19 03:30:00,66956.44,66956.45,66842.39,66909.99,85.31643
2026-02-19 03:45:00,66910.0,66997.07,66856.25,66980.91,74.3798
2026-02-19 04:00:00,66980.91,67070.56,66945.8,66985.58,95.30536
2026-02-19 04:15:00,66985.57,66985.58,66851.78,66888.17,120.50578
2026-02-19 04:30:00,66888.16,66945.8,66815.97,66816.04,94.9911
